P006000300000670_120,528:174112103,527:174112108,527:174112113,527:174112118,527:174112123,527:174112128,527:174112133,527:174112138,527:174112143,573:174112148,525:174112153,524:174112158,523:174112163,572:174112168,1058:174112173,932:174112178,932:174112183,932:174112188,932:174112193,932:174112198,932:174112203,932:174112208,933:174112213,933:174112218,933:174112223,933:174112228,933:174112233,933:174112238,933:174112243,251:174112248
P006000400002077_87,324:174709229,324:174709234,324:174709239,324:174709244,324:174709249,324:174709254,331:174709259,303:174709264,303:174709269,303:174709274,303:174709279,290:174709284,304:174709289,304:174709294,305:174709299,305:174709304,307:174709309,296:174709314,296:174709319,296:174709324,296:174709329,1134:174709334,1135:174709339,1135:174709344,1136:174709349,1090:174709354,1090:174709359,1090:174709364,1090:174709369,1091:174709374
P006000400002077_84,126:174449125,793:174449130,127:174449135,792:174449140,809:174449145,811:174449150,831:174449155,813:174449160,322:174449165,815:174449170,322:174449175,816:174449180,321:174449185,817:174449190,819:174449195,819:174449200,820:174449205,320:174449210,822:174449215,319:174449220,822:174449225,319:174449230,822:174449235,319:174449240,822:174449245,823:174449250,823:174449255,824:174449260,824:174449265,824:174449270
P006000400002077_85,824:174449270,825:174449275,825:174449280,193:174449285,194:174449290,196:174449295,184:174449300,182:174449305,180:174449310,132:174449315,132:174449320,35:174449325,133:174449330,133:174449335,133:174449340,133:174449345,134:174449350,134:174449355,134:174449360,134:174449365,1100:174449370,1103:174449375,1103:174449380,296:174449385,296:174449390,296:174449395,297:174449400,297:174449405,298:174449410,298:174449415
P006000400002077_82,1136:174428270,1090:174428275,1090:174428280,1091:174428285,1091:174428290,1092:174428295,1093:174428300,1095:174428305,1097:174428310,1098:174428315,1098:174428320,316:174428325,316:174428330,824:174428335,317:174428340,317:174428345,318:174428350,318:174428355,318:174428360,318:174428365,318:174428370,822:174428375,319:174428380,822:174428385,319:174428390,319:174428395,319:174428400,319:174428405,320:174428410,320:174428415
P006000300000670_125,49:174116002,49:174116007,241:174116012,50:174116017,50:174116022,50:174116027,50:174116032,50:174116037,50:174116042,50:174116047,51:174116052,51:174116057,51:174116062,51:174116067,51:174116072,51:174116077,51:174116082,51:174116087,51:174116092,51:174116097,51:174116102,51:174116107,51:174116112,51:174116117,51:174116122,51:174116127,51:174116132,52:174116137,52:174116142,52:174116147
P006000300000670_126,52:174116147,52:174116152,52:174116157,52:174116162,52:174116167,52:174116172,52:174116177,52:174116182,53:174116187,53:174116192,53:174116197,53:174116202,53:174116207,53:174116212,53:174116217,53:174116222,53:174116227,54:174116232,54:174116237,54:174116242,54:174116247,54:174116252,54:174116257,54:174116262,54:174116267,54:174116272,55:174116277,55:174116282,55:174116287,55:174116292
P006000400002077_81,302:174428125,302:174428130,302:174428135,302:174428140,302:174428145,302:174428150,302:174428155,302:174428160,302:174428165,302:174428170,302:174428175,331:174428180,303:174428185,303:174428190,303:174428195,303:174428200,290:174428205,304:174428210,304:174428215,305:174428220,305:174428225,305:174428230,306:174428235,306:174428240,307:174428245,307:174428250,1134:174428255,1135:174428260,1135:174428265,1136:174428270
P006000300000670_128,55:174119134,55:174119139,55:174119144,55:174119149,55:174119154,55:174119159,55:174119164,55:174119169,55:174119174,55:174119179,54:174119184,54:174119189,54:174119194,54:174119199,54:174119204,54:174119209,54:174119214,54:174119219,53:174119224,53:174119229,53:174119234,53:174119239,53:174119244,52:174119249,52:174119254,52:174119259,52:174119264,52:174119269,52:174119274,52:174119279
P006000300000670_129,52:174119279,52:174119284,52:174119289,52:174119294,52:174119299,52:174119304,52:174119309,52:174119314,52:174119319,51:174119324,51:174119329,51:174119334,51:174119339,51:174119344,51:174119349,51:174119354,51:174119359,51:174119364,51:174119369,51:174119374,51:174119379,51:174119384,51:174119389,51:174119394,51:174119399,51:174119404,51:174119409,50:174119414,50:174119419,50:174119424
P006000400002077_89,126:174722265,793:174722270,127:174722275,127:174722280,808:174722285,810:174722290,811:174722295,813:174722300,813:174722305,322:174722310,814:174722315,322:174722320,815:174722325,321:174722330,817:174722335,320:174722340,818:174722345,819:174722350,320:174722355,820:174722360,320:174722365,821:174722370,319:174722375,822:174722380,319:174722385,822:174722390,319:174722395,822:174722400,319:174722405,822:174722410
P006000300000430_391,358:178432942,358:178432947,358:178432952,357:178432957,357:178432962,357:178432967,357:178432972,357:178432977,357:178432982,357:178432987,356:178432992,356:178432997,356:178433002,355:178433007,355:178433012,355:178433017,354:178433022,1149:178433027,1149:178433032,1149:178433037,1148:178433042,1148:178433047,1148:178433052,1148:178433057,1148:178433062,1148:178433067,1148:178433072,1148:178433077,1148:178433082,1148:178433087
P006000300000430_100,1136:174385801,138:174385806,1090:174385811,1090:174385816,1090:174385821,1090:174385826,1091:174385831,1091:174385836,1092:174385841,1093:174385846,1095:174385851,1098:174385856,315:174385861,1098:174385866,825:174385871,316:174385876,824:174385881,317:174385886,824:174385891,317:174385896,823:174385901,318:174385906,822:174385911,319:174385916,822:174385921,319:174385926,822:174385931,319:174385936,822:174385941,319:174385946
P006000300000670_583,453:185134723,453:185134728,453:185134733,453:185134738,453:185134743,453:185134748,453:185134753,453:185134758,453:185134763,453:185134768,453:185134773,453:185134778,454:185134783,454:185134788,454:185134793,454:185134798,454:185134803,454:185134808,454:185134813,454:185134818,454:185134823,454:185134828,454:185134833,454:185134838,454:185134843,454:185134848,454:185134853,454:185134858,454:185134863,454:185134868
P006000300000430_102,589:174485595,589:174485600,589:174485605,590:174485610,591:174485615,591:174485620,591:174485625,591:174485630,591:174485635,591:174485640,591:174485645,591:174485650,591:174485655,591:174485660,591:174485665,591:174485670,591:174485675,591:174485680,591:174485685,155:174485690,155:174485695,155:174485700,155:174485705,155:174485710,154:174485715,154:174485720,154:174485725,153:174485730,153:174485735,153:174485740
P006000300000430_103,153:174485740,153:174485745,153:174485750,153:174485755,152:174485760,152:174485765,152:174485770,152:174485775,152:174485780,151:174485785,151:174485790,151:174485795,151:174485800,150:174485805,1119:174485810,1121:174485815,1122:174485820,1123:174485825,1125:174485830,1126:174485835,1126:174485840,1127:174485845,1129:174485850,1131:174485855,1131:174485860,1132:174485865,1132:174485870,1132:174485875,1132:174485880,1132:174485885
P006000300000670_238,151:176341490,151:176341495,152:176341500,152:176341505,152:176341510,152:176341515,152:176341520,152:176341525,153:176341530,153:176341535,153:176341540,153:176341545,153:176341550,153:176341555,154:176341560,154:176341565,154:176341570,154:176341575,154:176341580,154:176341585,155:176341590,155:176341595,155:176341600,155:176341605,155:176341610,155:176341615,155:176341620,155:176341625,155:176341630,155:176341635
P006000300000430_105,1098:174486030,316:174486035,316:174486040,316:174486045,317:174486050,317:174486055,317:174486060,317:174486065,317:174486070,318:174486075,318:174486080,318:174486085,319:174486090,319:174486095,319:174486100,319:174486105,319:174486110,319:174486115,319:174486120,319:174486125,320:174486130,320:174486135,320:174486140,320:174486145,320:174486150,320:174486155,320:174486160,320:174486165,321:174486170,321:174486175
P006000300000670_584,454:185134868,54:185134873,455:185134878,455:185134883,455:185134888,455:185134893,455:185134898,455:185134903,455:185134908,455:185134913,455:185134918,455:185134923,455:185134928,455:185134933,455:185134938,455:185134943,455:185134948,455:185134953,455:185134958,790:185134963,790:185134968,790:185134973,790:185134978,790:185134983,790:185134988,790:185134993,790:185134998,789:185135003,878:185135008,788:185135013
P006000300000670_585,788:185135013,788:185135018,788:185135023,788:185135028,788:185135033,220:185135038,220:185135043,220:185135048,220:185135053,220:185135058,220:185135063,787:185135068,787:185135073,787:185135078,787:185135083,787:185135088,787:185135093,787:185135098,787:185135103,787:185135108,787:185135113,787:185135118,787:185135123,787:185135128,787:185135133,787:185135138,787:185135143,787:185135148,787:185135153,787:185135158
P006000300004711_17,318:173133632,318:173133637,318:173133642,318:173133647,319:173133652,319:173133657,319:173133662,319:173133667,822:173133672,319:173133677,822:173133682,319:173133687,320:173133692,820:173133697,320:173133702,820:173133707,320:173133712,320:173133717,819:173133722,320:173133727,817:173133732,321:173133737,816:173133742,322:173133747,815:173133752,322:173133757,814:173133762,322:173133767,813:173133772,830:173133777
P006000300004711_16,296:173133487,1104:173133492,1103:173133497,1103:173133502,1135:173133507,1136:173133512,1136:173133517,1090:173133522,1090:173133527,1090:173133532,1090:173133537,1091:173133542,1091:173133547,1092:173133552,1092:173133557,1093:173133562,1095:173133567,1097:173133572,1098:173133577,162:173133582,1098:173133587,825:173133592,316:173133597,825:173133602,317:173133607,824:173133612,317:173133617,824:173133622,317:173133627,318:173133632
P006000300004711_15,290:173133342,304:173133347,304:173133352,304:173133357,304:173133362,304:173133367,304:173133372,304:173133377,304:173133382,304:173133387,304:173133392,304:173133397,1081:173133402,305:173133407,305:173133412,305:173133417,305:173133422,305:173133427,306:173133432,307:173133437,307:173133442,296:173133447,296:173133452,296:173133457,296:173133462,296:173133467,296:173133472,296:173133477,296:173133482,296:173133487
