P006000300000670_120,2341:174112103,2339:174112108,2339:174112113,2339:174112118,2339:174112123,2339:174112128,2339:174112133,2339:174112138,2338:174112143,2445:174112148,2337:174112153,2335:174112158,2334:174112163,2443:174112168,4718:174112173,4148:174112178,4150:174112183,4152:174112188,4153:174112193,4155:174112198,4156:174112203,4158:174112208,4160:174112213,4162:174112218,4163:174112223,4165:174112228,4167:174112233,4168:174112238,4169:174112243,1128:174112248
P006000400002077_87,1564:174709229,1563:174709234,1562:174709239,1560:174709244,1560:174709249,1559:174709254,1599:174709259,1422:174709264,1422:174709269,1424:174709274,1427:174709279,1366:174709284,1430:174709289,1431:174709294,1434:174709299,1437:174709304,1439:174709309,1386:174709314,1386:174709319,1385:174709324,1384:174709329,4877:174709334,4878:174709339,4879:174709344,4881:174709349,4823:174709354,4823:174709359,4823:174709364,4824:174709369,4824:174709374
P006000400002077_84,613:174449125,3434:174449130,618:174449135,3428:174449140,3513:174449145,3515:174449150,3630:174449155,3523:174449160,1546:174449165,3530:174449170,1539:174449175,3537:174449180,1533:174449185,3543:174449190,3546:174449195,3549:174449200,3554:174449205,1515:174449210,3562:174449215,1508:174449220,3567:174449225,1503:174449230,3574:174449235,1497:174449240,3578:174449245,3582:174449250,3584:174449255,3587:174449260,3591:174449265,3595:174449270
P006000400002077_85,3595:174449270,3597:174449275,3601:174449280,831:174449285,834:174449290,836:174449295,816:174449300,814:174449305,813:174449310,652:174449315,654:174449320,89:174449325,656:174449330,656:174449335,657:174449340,657:174449345,657:174449350,657:174449355,657:174449360,658:174449365,4837:174449370,4839:174449375,4840:174449380,1385:174449385,1387:174449390,1387:174449395,1391:174449400,1393:174449405,1395:174449410,1397:174449415
P006000400002077_82,4880:174428270,4823:174428275,4824:174428280,4824:174428285,4825:174428290,4827:174428295,4828:174428300,4830:174428305,4831:174428310,4833:174428315,4835:174428320,1471:174428325,1474:174428330,3596:174428335,1480:174428340,1484:174428345,1486:174428350,1487:174428355,1490:174428360,1492:174428365,1493:174428370,3576:174428375,1500:174428380,3572:174428385,1504:174428390,1507:174428395,1509:174428400,1512:174428405,1515:174428410,1518:174428415
P006000300000670_125,170:174116002,172:174116007,1070:174116012,174:174116017,176:174116022,177:174116027,178:174116032,179:174116037,180:174116042,181:174116047,182:174116052,183:174116057,184:174116062,185:174116067,187:174116072,189:174116077,190:174116082,192:174116087,194:174116092,196:174116097,197:174116102,199:174116107,201:174116112,203:174116117,205:174116122,206:174116127,208:174116132,210:174116137,211:174116142,213:174116147
P006000300000670_126,213:174116147,215:174116152,217:174116157,219:174116162,220:174116167,222:174116172,224:174116177,226:174116182,228:174116187,229:174116192,230:174116197,232:174116202,232:174116207,232:174116212,233:174116217,233:174116222,233:174116227,234:174116232,234:174116237,236:174116242,238:174116247,239:174116252,241:174116257,242:174116262,243:174116267,244:174116272,245:174116277,246:174116282,247:174116287,250:174116292
P006000400002077_81,1417:174428125,1418:174428130,1420:174428135,1420:174428140,1420:174428145,1421:174428150,1421:174428155,1421:174428160,1421:174428165,1421:174428170,1421:174428175,1599:174428180,1422:174428185,1424:174428190,1426:174428195,1427:174428200,1367:174428205,1430:174428210,1432:174428215,1433:174428220,1435:174428225,1437:174428230,1438:174428235,1438:174428240,1441:174428245,1443:174428250,4877:174428255,4878:174428260,4879:174428265,4880:174428270
P006000300000670_128,265:174119134,263:174119139,261:174119144,258:174119149,256:174119154,254:174119159,252:174119164,250:174119169,249:174119174,247:174119179,244:174119184,242:174119189,241:174119194,239:174119199,238:174119204,237:174119209,236:174119214,235:174119219,232:174119224,231:174119229,230:174119234,229:174119239,227:174119244,224:174119249,223:174119254,221:174119259,219:174119264,217:174119269,216:174119274,214:174119279
P006000300000670_129,214:174119279,211:174119284,210:174119289,209:174119294,209:174119299,209:174119304,209:174119309,209:174119314,209:174119319,208:174119324,207:174119329,205:174119334,204:174119339,202:174119344,200:174119349,198:174119354,196:174119359,193:174119364,191:174119369,190:174119374,188:174119379,186:174119384,184:174119389,183:174119394,182:174119399,182:174119404,182:174119409,180:174119414,179:174119419,178:174119424
P006000400002077_89,613:174722265,3434:174722270,619:174722275,621:174722280,3506:174722285,3514:174722290,3517:174722295,3520:174722300,3523:174722305,1548:174722310,3528:174722315,1542:174722320,3534:174722325,1537:174722330,3539:174722335,1531:174722340,3545:174722345,3548:174722350,1523:174722355,3554:174722360,1517:174722365,3559:174722370,1512:174722375,3564:174722380,1506:174722385,3571:174722390,1500:174722395,3576:174722400,1496:174722405,3579:174722410
